x,y,popDensity,DEM,Tem,Pre,slop
116.912,30.4879,780.3626424,8,17.39737075,1527.713141,0.452449542
116.755,30.5877,394.8477924,48,17.19458886,1487.430564,0.841869824
116.541,30.7548,261.473829,49,15.96059934,1456.084983,3.556553052
116.241,30.104,257.7735751,23,17.39976422,1555.229605,0.931693812
116.173,30.495,211.033975,101,16.25259368,1494.373948,3.337912231
116.935,30.9839,386.1001626,10,16.61659821,1382.434849,1.651972061
116.677,30.2412,349.9625494,23,17.54884114,1569.365574,0.345714096
117.066,30.6514,470.2034695,22,17.07528763,1493.158292,1.881050749
117.171,30.5558,1226.042758,11,17.42474866,1526.335859,0.208300249
116.208,30.8983,136.7023836,598,13.87643276,1457.801817,5.917014391
117.358,32.8793,1903.564686,14,15.8122151,986.6413574,0.34194896
117.34,33.2837,366.5777121,13,15.55498744,950.527885,0.159143137
117.01,33.0507,423.3089397,24,15.66982921,964.042607,0.214255226
117.428,33.0215,694.9658459,17,15.68196678,978.4458606,0.205359729
117.451,32.9173,1456.974362,33,15.71215622,987.8718517,0.475921458
117.777,33.1493,368.1186489,26,15.60172112,984.3051856,0.245203739
117.219,32.8545,1013.270231,7,15.78012457,987.0360071,0.568103564
116.153,33.1527,590.8029445,38,15.64513369,938.2557332,0.144466968
116.579,33.2197,514.2419664,26,15.62375891,936.5286946,0.142628097
115.801,33.7784,678.3148373,36,15.30880228,840.6903117,0.164532365
116.211,33.553,555.2746877,29,15.45861206,885.796937,0.13578816
116.993,30.0295,122.205388,88,17.12092163,1664.981637,2.436887798
117.501,30.5119,244.7166745,61,16.86829923,1572.98583,2.583390366
117.894,30.5978,208.350309,34,16.47541906,1558.190579,3.678018666
117.523,30.1942,56.37478545,189,15.85387973,1703.466833,5.583832104
117.653,32.47,223.2816363,59,15.824404,1040.768881,0.384001905
117.599,32.7894,328.8017681,20,15.70843494,1005.775038,0.585570156
118.523,32.469,276.796985,32,15.88759453,1073.695928,0.457916676
118.302,32.3459,1002.228972,15,15.98756737,1078.708408,0.478336598
118.128,32.8071,205.781135,23,15.66870836,1027.422251,0.505511187
118.175,32.3147,309.0902711,51,15.85065238,1082.215103,0.676806927
118.092,32.0665,251.0409508,35,16.15059636,1117.28962,0.498342383
118.962,32.7162,344.5348038,3,15.78746004,1056.001302,0.200978737
115.632,32.6426,653.0902337,17,16.01760384,1007.589169,0.229770473
115.386,33.2245,981.3417437,59,15.54914311,909.6491474,0.132495486
115.237,32.9065,902.9072474,52,15.76501172,956.894537,0.165030876
115.636,33.333,741.6985333,29,15.54183469,898.9547525,0.176350956
116.016,32.9235,794.4388021,27,15.8133789,967.1831054,0.159255307
115.725,33.0363,917.0813725,33,15.72430244,945.4736282,0.16218341
116.253,32.6586,598.4216362,24,15.98338134,1008.314269,0.170332556
115.714,32.8641,1350.470223,20,15.88238796,970.6632129,0.146988253
117.322,31.7411,3865.75396,10,16.57547887,1161.298674,0.135879344
117.718,31.6465,351.3504696,1,16.50111986,1199.905105,0.720843297
117.568,32.0019,403.1843081,30,16.22483593,1114.63231,0.375051049
116.998,31.6877,569.1993556,50,16.5125806,1177.486611,0.241492278
117.321,31.2693,377.2207901,108,16.78194073,1293.688754,0.644035098
117.198,31.9168,5103.475908,29,16.39742738,1122.559709,0.203272433
117.05,31.8734,1622.308755,57,16.35546509,1134.548794,0.270929147
117.347,31.9371,3869.550563,19,16.3717034,1119.673709,0.190453623
117.192,32.235,427.0915151,43,16.09790196,1067.00263,0.280036201
116.908,34.0515,1006.044025,35,15.03412956,850.7935305,0.529889418
116.881,33.8354,642.5720841,30,15.16526201,873.2229518,0.579637553
116.697,33.6505,471.0219023,26,15.37177097,886.5528094,0.116553867
116.739,33.9772,3877.748017,27,15.14093646,850.428842,0.466436051
116.818,32.6544,1755.883498,31,15.82551832,1008.356696,0.862911895
117.114,32.6285,532.4422132,21,15.9304712,1008.992181,0.432604973
116.573,32.7868,583.0449213,25,15.88511869,989.1420826,0.246936166
116.847,32.7822,544.0447061,29,15.84841943,990.3543075,0.199639173
116.754,32.2601,284.7899284,36,16.1889973,1066.704434,0.230808122
116.995,32.5596,2893.357541,58,15.9144583,1018.925499,0.388378444
116.912,32.5184,819.9711665,30,16.03949305,1022.639544,0.380996367
118.091,30.2547,83.9078828,525,15.75121735,1679.867449,4.870262113
118.255,29.9266,225.5185267,312,16.25059723,1749.28827,3.635696963
117.588,29.8696,65.79419673,185,16.45696015,1779.512797,3.98767638
118.564,29.8676,171.3685407,251,16.10984537,1728.104622,4.695780359
118.291,29.7417,1500.079807,144,17.46318684,1763.560423,0.771712197
118.078,29.6633,100.0288583,181,16.18077363,1828.984364,4.254341945
